match_id,team_1,team_2,date,year,ground,toss_winner,toss_decision,match_winner,dl_used
406205,Australia,Pakistan,2010-01-29,2010,Western Australia Cricket Association Ground,Australia,bat,Australia,
406206,Australia,Pakistan,2010-01-31,2010,Western Australia Cricket Association Ground,Pakistan,bat,Australia,
423783,New Zealand,Bangladesh,2010-02-05,2010,McLean Park,New Zealand,bat,New Zealand,
406192,Australia,West Indies,2010-02-07,2010,Melbourne Cricket Ground,West Indies,field,Australia,
423784,New Zealand,Bangladesh,2010-02-08,2010,University Oval,New Zealand,field,New Zealand,
406193,Australia,West Indies,2010-02-09,2010,Adelaide Oval,West Indies,bat,Australia,
423785,New Zealand,Bangladesh,2010-02-11,2010,AMI Stadium,New Zealand,field,New Zealand,
406194,Australia,West Indies,2010-02-12,2010,Sydney Cricket Ground,West Indies,field,No Result,
406195,Australia,West Indies,2010-02-14,2010,"Brisbane Cricket Ground, Woolloongabba",West Indies,field,Australia,
406196,Australia,West Indies,2010-02-19,2010,Melbourne Cricket Ground,Australia,bat,Australia,
441827,India,South Africa,2010-02-21,2010,Sawai Mansingh Stadium,South Africa,field,India,
441828,India,South Africa,2010-02-24,2010,Captain Roop Singh Stadium,India,bat,India,
441829,India,South Africa,2010-02-27,2010,"Sardar Patel Stadium, Motera",South Africa,bat,South Africa,
426420,Bangladesh,England,2010-02-28,2010,Shere Bangla National Stadium,England,field,England,
426421,Bangladesh,England,2010-03-02,2010,Shere Bangla National Stadium,England,field,England,
423791,New Zealand,Australia,2010-03-03,2010,McLean Park,Australia,bat,New Zealand,
439140,West Indies,Zimbabwe,2010-03-04,2010,Providence Stadium,Zimbabwe,bat,Zimbabwe,
426422,Bangladesh,England,2010-03-05,2010,Zohur Ahmed Chowdhury Stadium,Bangladesh,field,England,
439141,West Indies,Zimbabwe,2010-03-06,2010,Providence Stadium,Zimbabwe,bat,West Indies,
423792,New Zealand,Australia,2010-03-06,2010,Eden Park,Australia,bat,Australia,y
423793,New Zealand,Australia,2010-03-09,2010,Seddon Park,Australia,field,Australia,
439142,West Indies,Zimbabwe,2010-03-10,2010,"Arnos Vale Ground, Kingstown",Zimbabwe,field,West Indies,
423794,New Zealand,Australia,2010-03-11,2010,Eden Park,Australia,field,Australia,y
439143,West Indies,Zimbabwe,2010-03-12,2010,"Arnos Vale Ground, Kingstown",West Indies,field,West Indies,
423795,New Zealand,Australia,2010-03-13,2010,Westpac Stadium,Australia,field,New Zealand,
439144,West Indies,Zimbabwe,2010-03-14,2010,"Arnos Vale Ground, Kingstown",West Indies,field,West Indies,
439147,West Indies,South Africa,2010-05-22,2010,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,y
439148,West Indies,South Africa,2010-05-24,2010,"Sir Vivian Richards Stadium, North Sound",South Africa,bat,South Africa,
452146,Zimbabwe,India,2010-05-28,2010,Queens Sports Club,India,bat,Zimbabwe,
439149,West Indies,South Africa,2010-05-28,2010,"Windsor Park, Roseau",South Africa,bat,South Africa,
452147,India,Sri Lanka,2010-05-30,2010,Queens Sports Club,India,field,India,
439150,West Indies,South Africa,2010-05-30,2010,"Windsor Park, Roseau",West Indies,bat,South Africa,
452148,Zimbabwe,Sri Lanka,2010-06-01,2010,Queens Sports Club,Sri Lanka,field,Sri Lanka,
452149,Zimbabwe,India,2010-06-03,2010,Harare Sports Club,Zimbabwe,field,Zimbabwe,
439151,West Indies,South Africa,2010-06-03,2010,"Queen's Park Oval, Port of Spain",West Indies,bat,South Africa,
452150,India,Sri Lanka,2010-06-05,2010,Harare Sports Club,Sri Lanka,field,Sri Lanka,
452151,Zimbabwe,Sri Lanka,2010-06-07,2010,Harare Sports Club,Zimbabwe,field,Zimbabwe,
452152,Zimbabwe,Sri Lanka,2010-06-09,2010,Harare Sports Club,Sri Lanka,field,Sri Lanka,
